appid,review_score,review_score_desc,total_reviews
223710,6.0,Mostly Positive,127.0
934700,6.0,Mostly Positive,5568.0
1509510,8.0,Very Positive,2857.0
1549250,0.0,No user reviews,0.0
3052450,0.0,No user reviews,0.0
282070,8.0,Very Positive,22482.0
2026000,9.0,Overwhelmingly Positive,1393.0
2201940,6.0,Mostly Positive,1681.0
24010,6.0,Mostly Positive,10410.0
1332010,9.0,Overwhelmingly Positive,74397.0
2133760,9.0,Overwhelmingly Positive,2490.0
3061810,8.0,Very Positive,3011.0
2140330,5.0,Mixed,7070.0
2561580,8.0,Very Positive,2227.0
666140,8.0,Very Positive,11919.0
268650,8.0,Very Positive,9289.0
2828860,6.0,Mostly Positive,14236.0
10090,8.0,Very Positive,32440.0
872790,8.0,Very Positive,2545.0
3114410,0.0,No user reviews,0.0
3279780,0.0,No user reviews,0.0
389730,8.0,Very Positive,30239.0
403640,8.0,Very Positive,18841.0
1455840,9.0,Overwhelmingly Positive,15017.0
3581600,0.0,No user reviews,0.0
22330,9.0,Overwhelmingly Positive,31329.0
2058180,9.0,Overwhelmingly Positive,4077.0
2408820,8.0,Very Positive,3189.0
433850,5.0,Mixed,37621.0
3788420,0.0,No user reviews,0.0
367500,8.0,Very Positive,21632.0
2288470,8.0,Very Positive,742.0
603850,8.0,Very Positive,8904.0
1084160,8.0,Very Positive,4899.0
3117820,8.0,Very Positive,916.0
628070,8.0,Very Positive,251.0
787480,9.0,Overwhelmingly Positive,9067.0
1670460,7.0,Positive,45.0
392110,8.0,Very Positive,9183.0
2962300,0.0,No user reviews,0.0
39140,8.0,Very Positive,15700.0
243750,0.0,No user reviews,0.0
400,9.0,Overwhelmingly Positive,76885.0
1296610,8.0,Very Positive,9500.0
2791440,0.0,No user reviews,0.0
637650,8.0,Very Positive,16894.0
1361350,0.0,No user reviews,0.0
838350,6.0,Mostly Positive,696.0
1286680,6.0,Mostly Positive,10884.0
1601580,6.0,Mostly Positive,8286.0
983870,8.0,Very Positive,1644.0
2853590,8.0,Very Positive,1961.0
972660,9.0,Overwhelmingly Positive,17690.0
2000950,8.0,Very Positive,8250.0
2511500,8.0,Very Positive,1216.0
2677660,8.0,Very Positive,6277.0
47810,8.0,Very Positive,19612.0
223470,9.0,Overwhelmingly Positive,40131.0
39510,8.0,Very Positive,2308.0
333420,6.0,Mostly Positive,3155.0
2181940,0.0,No user reviews,0.0
3020510,8.0,Very Positive,87.0
760160,0.0,No user reviews,0.0
834530,8.0,Very Positive,10233.0
952060,8.0,Very Positive,24247.0
1149620,8.0,Very Positive,10021.0
236110,5.0,Mixed,2115.0
571740,8.0,Very Positive,11635.0
1857090,8.0,Very Positive,2429.0
3483740,9.0,Overwhelmingly Positive,2169.0
409710,8.0,Very Positive,24510.0
535930,8.0,Very Positive,12313.0
1367080,4.0,Mostly Negative,13.0
9810,0.0,No user reviews,0.0
349040,8.0,Very Positive,16861.0
357070,8.0,Very Positive,1580.0
800270,6.0,Mostly Positive,3286.0
1583230,8.0,Very Positive,11854.0
461040,7.0,Positive,19.0
2993780,8.0,Very Positive,4621.0
477160,9.0,Overwhelmingly Positive,29738.0
595520,8.0,Very Positive,4517.0
1674010,0.0,No user reviews,0.0
1629520,8.0,Very Positive,8525.0
1637320,8.0,Very Positive,9271.0
1782120,8.0,Very Positive,7365.0
246620,8.0,Very Positive,23650.0
1102190,9.0,Overwhelmingly Positive,12030.0
2336220,8.0,Very Positive,194.0
285900,8.0,Very Positive,23412.0
